date,pop_<5,pop_5-14,pop_15-24,pop_25-34,pop_35-44,pop_45-54,pop_55-64,pop_65-74,pop_75-84,pop_>84,inf_<5,inf_5-14,inf_15-24,inf_25-34,inf_35-44,inf_45-54,inf_55-64,inf_65-74,inf_75-84,inf_>84,dea_<5,dea_5-14,dea_15-24,dea_25-34,dea_35-44,dea_45-54,dea_55-64,dea_65-74,dea_75-84,dea_>84
2021/08/16,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,922,5477,10010,10601,9332,11105,8652,4004,3176,1797,0,0,1,0,1,12,21,90,257,307
2021/08/15,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,921,5473,10001,10587,9328,11096,8647,4002,3175,1796,0,0,1,0,1,12,21,90,257,307
2021/08/14,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,920,5466,9984,10575,9318,11090,8643,4002,3175,1794,0,0,1,0,1,12,21,90,257,307
2021/08/13,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,919,5461,9961,10565,9311,11081,8636,3999,3174,1793,0,0,1,0,1,12,21,90,257,307
2021/08/12,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,916,5452,9938,10543,9300,11072,8629,3996,3173,1792,0,0,1,0,1,12,21,90,257,307
2021/08/11,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,915,5442,9909,10517,9281,11061,8625,3996,3173,1791,0,0,1,0,1,12,21,90,257,307
2021/08/10,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,915,5434,9878,10502,9270,11049,8620,3993,3171,1791,0,0,1,0,1,12,21,90,257,307
2021/08/09,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,914,5427,9859,10484,9265,11035,8614,3990,3170,1791,0,0,1,0,1,12,21,90,257,307
2021/08/08,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,909,5418,9834,10468,9249,11027,8613,3988,3168,1791,0,0,1,0,1,12,21,90,257,307
2021/08/07,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,909,5411,9817,10466,9245,11024,8610,3987,3165,1791,0,0,1,0,1,12,21,90,257,307
2021/08/06,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,907,5403,9802,10446,9236,11012,8605,3985,3165,1791,0,0,1,0,1,12,21,90,257,307
2021/08/05,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,906,5400,9779,10429,9227,10994,8604,3983,3164,1791,0,0,1,0,1,12,21,90,257,307
2021/08/04,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,906,5394,9763,10411,9215,10989,8598,3982,3163,1791,0,0,1,0,1,12,21,90,257,307
2021/08/03,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,906,5388,9738,10395,9212,10978,8592,3980,3162,1791,0,0,1,0,1,12,21,90,257,307
2021/08/02,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,903,5379,9717,10382,9205,10974,8586,3980,3159,1791,0,0,1,0,1,12,21,90,257,307
2021/08/01,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,902,5373,9701,10369,9199,10967,8583,3979,3159,1791,0,0,1,0,1,12,21,90,257,307
2021/07/31,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,902,5372,9686,10360,9193,10964,8581,3977,3158,1790,0,0,1,0,1,12,21,90,257,307
2021/07/30,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,901,5370,9673,10354,9187,10961,8580,3976,3153,1790,0,0,1,0,1,12,21,90,257,307
2021/07/29,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,901,5370,9660,10339,9185,10956,8578,3975,3153,1790,0,0,1,0,1,12,21,90,257,307
2021/07/28,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,901,5368,9638,10322,9182,10952,8577,3975,3152,1790,0,0,1,0,1,11,21,90,257,307
2021/07/27,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,901,5367,9622,10310,9180,10948,8577,3974,3152,1790,0,0,1,0,1,11,21,90,257,307
2021/07/26,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,901,5365,9598,10294,9172,10940,8574,3973,3152,1790,0,0,1,0,1,11,21,90,257,307
2021/07/25,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,901,5364,9589,10290,9171,10937,8574,3971,3152,1790,0,0,1,0,1,11,21,90,257,307
2021/07/24,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,900,5360,9572,10286,9167,10929,8571,3971,3152,1790,0,0,1,0,1,11,21,90,257,307
2021/07/23,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,900,5356,9555,10278,9163,10923,8568,3971,3152,1790,0,0,1,0,1,11,21,90,257,307
2021/07/22,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,897,5353,9540,10273,9163,10920,8567,3970,3152,1790,0,0,1,0,1,11,21,90,257,307
2021/07/21,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,897,5352,9521,10266,9152,10917,8564,3970,3152,1790,0,0,1,0,1,11,21,90,257,307
2021/07/20,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,897,5348,9510,10257,9148,10915,8562,3970,3152,1790,0,0,1,0,1,11,21,90,257,307
2021/07/19,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,897,5347,9497,10253,9146,10911,8559,3970,3152,1790,0,0,1,0,1,11,21,90,257,307
2021/07/18,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,897,5345,9482,10247,9144,10908,8557,3970,3151,1790,0,0,1,0,1,11,21,90,257,307
2021/07/17,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,896,5342,9474,10245,9138,10905,8556,3970,3151,1790,0,0,1,0,1,11,21,90,257,307
2021/07/16,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,896,5339,9465,10244,9138,10902,8555,3970,3151,1790,0,0,1,0,1,11,21,90,257,307
2021/07/15,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,896,5334,9442,10240,9135,10900,8551,3970,3151,1790,0,0,1,0,1,11,21,90,257,307
2021/07/14,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5332,9427,10229,9133,10897,8551,3970,3151,1790,0,0,1,0,1,11,21,90,257,307
2021/07/13,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5332,9420,10225,9132,10895,8549,3970,3151,1789,0,0,1,0,1,11,21,90,257,307
2021/07/12,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5331,9407,10221,9131,10893,8549,3969,3151,1789,0,0,1,0,1,11,21,90,257,307
2021/07/11,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5328,9398,10211,9128,10892,8549,3969,3150,1789,0,0,1,0,1,11,21,90,257,307
2021/07/10,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5326,9394,10208,9127,10890,8548,3969,3150,1789,0,0,1,0,1,11,21,90,257,307
2021/07/09,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5325,9387,10206,9125,10888,8548,3969,3150,1789,0,0,1,0,1,11,21,90,257,307
2021/07/08,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5325,9374,10204,9120,10887,8547,3969,3150,1789,0,0,1,0,1,11,21,90,257,307
2021/07/07,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5325,9347,10201,9120,10884,8545,3969,3150,1789,0,0,1,0,1,11,21,90,257,307
2021/07/06,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5324,9345,10198,9120,10882,8544,3969,3149,1789,0,0,1,0,1,11,21,90,257,307
2021/07/05,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5324,9343,10196,9119,10882,8543,3969,3149,1789,0,0,1,0,1,11,21,90,257,307
2021/07/04,37843,72484,81612,107304,100865,111692,108092,71452,50429,18332,895,5324,9337,10196,9119,10880,8542,3969,3149,1789,0,0,1,0,1,11,21,90,257,307
