date,pop_<5,pop_5-14,pop_15-24,pop_25-34,pop_35-44,pop_45-54,pop_55-64,pop_65-74,pop_75-84,pop_>84,inf_<5,inf_5-14,inf_15-24,inf_25-34,inf_35-44,inf_45-54,inf_55-64,inf_65-74,inf_75-84,inf_>84,dea_<5,dea_5-14,dea_15-24,dea_25-34,dea_35-44,dea_45-54,dea_55-64,dea_65-74,dea_75-84,dea_>84
2021/10/31,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1758,15476,24424,26240,24300,26464,20268,9353,6861,4006,0,0,1,2,6,24,106,279,583,766
2021/10/30,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1748,15297,24193,26006,24093,26289,20128,9263,6809,3987,0,0,1,2,6,24,106,279,583,765
2021/10/29,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1733,15122,23954,25772,23852,26088,19968,9166,6746,3960,0,0,1,2,6,24,105,279,582,764
2021/10/28,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1725,14936,23702,25528,23636,25877,19768,9069,6690,3941,0,0,1,2,6,24,105,278,581,763
2021/10/27,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1710,14658,23456,25287,23366,25649,19586,8978,6628,3928,0,0,1,2,6,24,105,278,581,763
2021/10/26,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1691,14475,23315,25137,23163,25494,19472,8896,6586,3905,0,0,1,2,6,24,104,278,581,763
2021/10/25,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1682,14315,23170,24998,22977,25319,19350,8830,6545,3886,0,0,1,2,6,24,104,278,579,761
2021/10/24,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1676,14189,23067,24898,22866,25210,19269,8781,6487,3875,0,0,1,2,6,23,104,278,579,761
2021/10/23,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1668,14086,22976,24816,22736,25125,19187,8743,6464,3865,0,0,1,1,6,23,103,278,579,759
2021/10/22,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1655,13955,22866,24692,22624,25008,19084,8692,6426,3849,0,0,1,1,6,23,102,278,578,759
2021/10/21,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1639,13823,22701,24544,22483,24892,18984,8628,6397,3840,0,0,1,1,6,22,102,278,577,758
2021/10/20,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1632,13688,22596,24418,22364,24783,18905,8566,6365,3831,0,0,1,1,6,22,102,278,575,757
2021/10/19,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1620,13551,22468,24278,22239,24671,18807,8525,6336,3818,0,0,1,1,6,22,102,277,575,756
2021/10/18,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1600,13236,22314,24142,22114,24516,18707,8481,6302,3803,0,0,1,1,6,22,102,277,574,754
2021/10/17,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1580,13065,22220,24068,22012,24433,18643,8437,6283,3792,0,0,1,1,6,21,102,277,574,754
2021/10/16,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1574,12981,22162,24006,21949,24367,18588,8412,6260,3787,0,0,1,1,6,21,102,277,574,753
2021/10/15,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1572,12923,22091,23948,21878,24315,18551,8396,6236,3778,0,0,1,1,6,20,102,277,572,751
2021/10/14,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1563,12804,21969,23836,21766,24221,18487,8354,6209,3771,0,0,1,1,6,20,102,277,572,751
2021/10/13,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1556,12710,21875,23753,21651,24137,18430,8326,6188,3764,0,0,1,1,6,20,102,277,570,750
2021/10/12,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1549,12625,21789,23672,21561,24063,18376,8292,6171,3752,0,0,1,1,6,20,102,276,570,750
2021/10/11,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1542,12428,21687,23589,21472,23973,18302,8259,6163,3748,0,0,1,1,6,20,101,276,570,750
2021/10/10,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1536,12318,21616,23536,21400,23918,18265,8242,6155,3745,0,0,1,1,6,20,101,275,570,749
2021/10/09,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1533,12264,21570,23493,21349,23872,18232,8232,6144,3741,0,0,1,1,6,20,101,275,569,748
2021/10/08,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1528,12206,21507,23436,21282,23826,18197,8214,6137,3740,0,0,1,1,6,20,101,275,568,747
2021/10/07,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1524,12130,21417,23359,21201,23761,18152,8197,6118,3733,0,0,1,1,6,20,101,275,568,746
2021/10/06,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1517,12075,21352,23279,21122,23709,18117,8177,6104,3731,0,0,1,1,6,20,101,274,566,746
2021/10/05,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1508,12013,21283,23218,21050,23640,18080,8158,6097,3728,0,0,1,1,6,20,101,274,566,744
2021/10/04,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1498,11808,21166,23143,20969,23583,18028,8140,6084,3725,0,0,1,1,6,20,101,272,566,743
2021/10/03,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1489,11717,21093,23083,20903,23542,17997,8128,6080,3724,0,0,1,1,6,20,101,272,564,743
2021/10/02,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1483,11641,21036,23041,20851,23480,17969,8112,6072,3720,0,0,1,1,6,20,99,272,562,743
2021/10/01,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1473,11581,20959,22975,20790,23436,17931,8099,6063,3716,0,0,1,1,6,20,99,272,562,743
2021/09/30,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1468,11498,20878,22898,20714,23377,17889,8077,6057,3707,0,0,1,1,6,20,99,271,559,742
2021/09/29,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1456,11417,20798,22833,20644,23312,17846,8057,6050,3701,0,0,1,1,6,20,99,271,559,741
2021/09/28,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1442,11341,20719,22754,20584,23254,17798,8041,6035,3696,0,0,1,1,6,20,99,271,559,741
2021/09/27,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1435,11150,20621,22667,20502,23194,17747,8012,6026,3694,0,0,1,1,6,20,99,269,558,738
2021/09/26,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1430,11083,20575,22619,20458,23163,17718,7995,6021,3689,0,0,1,1,6,20,99,269,557,738
2021/09/25,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1420,11018,20533,22552,20405,23121,17687,7986,6013,3686,0,0,1,1,6,20,99,269,556,738
2021/09/24,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1414,10962,20469,22475,20344,23079,17657,7973,6009,3682,0,0,1,1,6,20,99,269,556,738
2021/09/23,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1398,10866,20398,22380,20264,23019,17608,7961,6003,3675,0,0,1,1,6,20,99,269,556,738
2021/09/22,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1385,10794,20333,22320,20180,22967,17566,7952,5988,3671,0,0,1,1,6,20,99,269,556,738
2021/09/21,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1375,10734,20279,22250,20131,22907,17537,7931,5971,3668,0,0,1,1,6,20,98,269,556,738
2021/09/20,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1364,10582,20183,22168,20064,22848,17500,7918,5960,3663,0,0,1,1,6,20,98,269,555,737
2021/09/19,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1359,10535,20133,22126,20027,22812,17465,7892,5953,3659,0,0,1,1,6,20,98,269,555,735
2021/09/18,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1357,10491,20101,22084,19986,22781,17435,7880,5944,3657,0,0,0,1,6,20,98,268,555,732
2021/09/17,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1354,10437,20060,22040,19954,22743,17392,7872,5928,3655,0,0,0,1,6,20,98,268,554,732
2021/09/16,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1346,10348,19968,21926,19863,22685,17357,7842,5918,3648,0,0,0,1,6,20,98,268,554,730
2021/09/15,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1328,10186,19883,21846,19811,22634,17328,7820,5905,3635,0,0,0,1,6,20,98,267,553,730
2021/09/14,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1314,10110,19806,21752,19755,22595,17295,7801,5889,3624,0,0,0,1,6,20,98,267,553,730
2021/09/13,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1304,10012,19732,21663,19675,22512,17250,7792,5874,3613,0,0,0,1,6,20,98,267,552,730
2021/09/12,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1295,9942,19678,21593,19617,22460,17218,7779,5867,3610,0,0,0,1,6,20,98,267,552,730
2021/09/11,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1291,9893,19636,21541,19578,22412,17185,7766,5856,3607,0,0,0,1,6,20,98,267,552,730
2021/09/10,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1282,9839,19536,21466,19529,22360,17156,7752,5849,3603,0,0,0,1,6,20,98,267,551,729
2021/09/09,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1277,9772,19473,21378,19445,22291,17119,7733,5842,3601,0,0,0,1,6,20,97,267,551,727
2021/09/08,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1264,9711,19389,21284,19384,22230,17086,7708,5822,3594,0,0,0,1,6,20,97,267,551,726
2021/09/07,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1258,9645,19324,21202,19317,22167,17047,7698,5820,3593,0,0,0,1,6,19,97,267,551,725
2021/09/06,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1249,9573,19221,21108,19240,22094,17005,7687,5810,3588,0,0,0,1,6,19,97,267,551,724
2021/09/05,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1240,9523,19141,21028,19185,22053,16969,7680,5804,3583,0,0,0,1,6,19,97,267,551,724
2021/09/04,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1230,9454,19080,20970,19141,22013,16936,7670,5796,3570,0,0,0,1,6,19,97,267,551,722
2021/09/03,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1224,9417,19016,20912,19082,21976,16912,7662,5792,3568,0,0,0,1,6,19,96,267,550,722
2021/09/02,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1217,9359,18914,20810,18996,21907,16876,7641,5786,3566,0,0,0,1,6,19,96,266,550,722
2021/09/01,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1205,9309,18830,20725,18933,21857,16846,7634,5780,3561,0,0,0,1,6,19,96,266,550,722
2021/08/31,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1200,9270,18789,20685,18894,21824,16830,7626,5773,3557,0,0,0,1,6,19,96,265,550,722
2021/08/30,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1193,9224,18711,20620,18838,21778,16796,7612,5767,3555,0,0,0,1,6,19,96,265,550,722
2021/08/29,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1189,9177,18646,20565,18791,21755,16775,7602,5764,3554,0,0,0,1,6,19,96,265,550,722
2021/08/28,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1184,9138,18598,20522,18756,21712,16752,7598,5759,3553,0,0,0,1,6,19,96,265,550,721
2021/08/27,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1179,9095,18531,20477,18718,21679,16731,7587,5758,3553,0,0,0,1,6,19,96,264,550,721
2021/08/26,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1173,9058,18436,20419,18671,21639,16717,7573,5754,3552,0,0,0,1,6,19,96,264,550,719
2021/08/25,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1163,9005,18344,20346,18618,21613,16694,7565,5751,3551,0,0,0,1,6,19,96,264,549,719
2021/08/24,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1157,8955,18268,20280,18567,21572,16663,7556,5748,3550,0,0,0,1,6,19,96,264,549,718
2021/08/23,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1152,8903,18186,20195,18507,21514,16636,7552,5744,3549,0,0,0,1,6,19,96,264,549,718
2021/08/22,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1149,8872,18130,20164,18475,21480,16623,7550,5744,3545,0,0,0,1,6,19,96,264,548,718
2021/08/21,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1146,8849,18093,20120,18447,21454,16611,7543,5742,3545,0,0,0,1,6,19,96,264,548,718
2021/08/20,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1143,8829,18041,20090,18426,21438,16603,7537,5740,3543,0,0,0,1,6,19,96,264,548,718
2021/08/19,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1140,8786,17955,20026,18383,21404,16582,7527,5737,3541,0,0,0,1,6,19,96,264,548,718
2021/08/18,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1132,8744,17874,19951,18358,21368,16564,7520,5736,3541,0,0,0,1,6,19,96,264,548,718
2021/08/17,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1127,8710,17787,19878,18316,21333,16549,7514,5733,3540,0,0,0,1,6,19,96,264,548,718
2021/08/16,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1126,8673,17713,19827,18267,21312,16533,7510,5732,3540,0,0,0,1,6,19,96,264,548,718
2021/08/15,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1123,8658,17669,19810,18243,21299,16525,7507,5730,3539,0,0,0,1,6,19,96,264,548,718
2021/08/14,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1121,8643,17635,19783,18223,21285,16516,7505,5730,3537,0,0,0,1,6,19,96,264,548,718
2021/08/13,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1117,8619,17600,19750,18205,21269,16504,7503,5730,3537,0,0,0,1,6,19,96,263,548,718
2021/08/12,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1116,8596,17552,19717,18179,21255,16494,7498,5729,3536,0,0,0,1,6,19,96,263,548,718
2021/08/11,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1112,8570,17505,19674,18158,21231,16482,7494,5727,3535,0,0,0,1,6,19,96,262,548,718
2021/08/10,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1108,8543,17465,19644,18138,21215,16474,7488,5725,3535,0,0,0,1,6,19,96,262,548,718
2021/08/09,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1105,8517,17404,19603,18118,21196,16466,7486,5722,3530,0,0,0,1,6,19,96,262,548,718
2021/08/08,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1103,8511,17376,19583,18103,21186,16460,7483,5721,3528,0,0,0,1,6,19,96,262,548,718
2021/08/07,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1102,8496,17353,19562,18098,21179,16457,7482,5721,3527,0,0,0,1,6,19,96,262,548,718
2021/08/06,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1100,8490,17329,19538,18087,21165,16454,7480,5719,3527,0,0,0,1,6,19,96,262,548,718
2021/08/05,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1100,8486,17293,19511,18075,21154,16445,7479,5718,3527,0,0,0,1,6,19,96,262,548,718
2021/08/04,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1099,8478,17262,19492,18060,21141,16437,7478,5717,3526,0,0,0,1,6,19,96,262,548,718
2021/08/03,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1099,8465,17233,19479,18045,21140,16432,7478,5715,3526,0,0,0,1,6,19,96,262,547,718
2021/08/02,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1099,8461,17195,19445,18034,21128,16430,7476,5714,3526,0,0,0,1,6,19,96,262,547,718
2021/08/01,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1099,8459,17171,19433,18025,21119,16424,7473,5713,3525,0,0,0,1,6,19,96,262,547,718
2021/07/31,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1099,8457,17149,19422,18019,21118,16421,7472,5713,3525,0,0,0,1,6,19,96,262,547,718
2021/07/30,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1098,8457,17130,19413,18015,21111,16414,7471,5713,3524,0,0,0,1,6,19,96,262,547,718
2021/07/29,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1098,8456,17090,19388,18010,21109,16408,7466,5711,3524,0,0,0,1,6,19,96,262,547,718
2021/07/28,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1098,8452,17056,19371,18002,21100,16401,7466,5711,3524,0,0,0,1,6,19,96,262,547,718
2021/07/27,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1094,8449,17020,19351,17996,21091,16399,7461,5708,3524,0,0,0,1,6,19,96,262,547,718
2021/07/26,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1094,8438,16977,19331,17992,21078,16391,7455,5706,3524,0,0,0,1,6,19,96,262,547,718
2021/07/25,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1093,8433,16952,19324,17989,21069,16391,7454,5706,3524,0,0,0,1,6,19,96,262,547,718
2021/07/24,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1093,8431,16937,19316,17984,21066,16389,7452,5705,3524,0,0,0,1,6,19,96,262,547,718
2021/07/23,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1093,8429,16918,19310,17981,21066,16389,7451,5704,3524,0,0,0,1,6,19,96,262,547,718
2021/07/22,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1093,8427,16894,19291,17979,21060,16388,7447,5704,3523,0,0,0,1,6,19,96,262,547,718
2021/07/21,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1093,8418,16862,19277,17968,21056,16384,7446,5704,3523,0,0,0,1,6,19,96,262,547,718
2021/07/20,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1093,8417,16837,19271,17963,21049,16379,7446,5704,3523,0,0,0,1,6,19,96,262,547,718
2021/07/19,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1085,8414,16813,19260,17950,21041,16371,7445,5704,3522,0,0,0,1,6,19,96,262,547,718
2021/07/18,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1083,8411,16797,19249,17942,21036,16369,7444,5703,3521,0,0,0,1,6,19,96,262,547,718
2021/07/17,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1083,8408,16786,19239,17939,21030,16366,7443,5703,3521,0,0,0,1,6,19,96,262,547,718
2021/07/16,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1083,8405,16769,19229,17936,21027,16363,7443,5702,3520,0,0,0,1,6,19,96,262,547,718
2021/07/15,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1083,8402,16737,19220,17930,21020,16359,7442,5702,3520,0,0,0,1,6,19,96,262,547,718
2021/07/14,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1083,8400,16714,19209,17926,21016,16358,7441,5702,3520,0,0,0,1,6,19,96,262,547,718
2021/07/13,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1082,8395,16699,19201,17920,21009,16358,7441,5702,3520,0,0,0,1,6,19,96,262,547,718
2021/07/12,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1082,8393,16684,19192,17915,21006,16354,7440,5702,3520,0,0,0,1,6,19,96,262,547,718
2021/07/11,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1082,8393,16678,19189,17908,21004,16348,7438,5702,3520,0,0,0,1,6,19,96,262,547,718
2021/07/10,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1082,8389,16663,19182,17902,21002,16346,7438,5702,3520,0,0,0,1,6,19,96,262,547,718
2021/07/09,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1082,8389,16661,19179,17901,21000,16346,7438,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/07/08,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1082,8385,16657,19176,17897,20996,16345,7438,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/07/07,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1082,8373,16647,19175,17895,20994,16345,7438,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/07/06,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1082,8364,16643,19170,17892,20994,16344,7438,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/07/05,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1081,8358,16641,19165,17887,20990,16342,7438,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/07/04,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1081,8357,16639,19165,17887,20990,16341,7437,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/07/03,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1081,8357,16636,19160,17885,20990,16340,7437,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/07/02,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1081,8356,16634,19159,17883,20990,16340,7436,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/07/01,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1081,8353,16633,19157,17881,20990,16340,7436,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/06/30,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1080,8350,16629,19154,17878,20990,16339,7436,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/06/29,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1080,8348,16628,19151,17878,20989,16338,7436,5701,3520,0,0,0,1,6,19,96,262,547,718
2021/06/28,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1080,8346,16622,19150,17877,20988,16338,7436,5701,3519,0,0,0,1,6,19,96,262,547,718
2021/06/27,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1080,8343,16622,19148,17875,20988,16336,7436,5701,3518,0,0,0,1,6,19,96,262,547,718
2021/06/26,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1080,8343,16621,19147,17874,20988,16336,7436,5701,3518,0,0,0,1,6,19,96,262,547,718
2021/06/25,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1080,8341,16618,19146,17874,20985,16336,7436,5701,3518,0,0,0,1,6,19,96,262,547,718
2021/06/24,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1080,8339,16613,19144,17872,20985,16336,7436,5700,3518,0,0,0,1,6,19,96,262,547,718
2021/06/23,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1079,8336,16610,19140,17870,20985,16335,7436,5700,3517,0,0,0,1,6,19,96,262,547,718
2021/06/22,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1079,8332,16609,19137,17870,20984,16335,7436,5700,3517,0,0,0,1,6,19,96,262,547,718
2021/06/21,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1078,8327,16606,19130,17867,20983,16334,7435,5700,3517,0,0,0,1,6,19,96,262,547,718
2021/06/20,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1078,8326,16603,19126,17864,20981,16334,7435,5700,3516,0,0,0,1,6,19,96,262,547,718
2021/06/19,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1078,8325,16603,19124,17860,20980,16334,7435,5700,3516,0,0,0,1,6,19,96,262,547,717
2021/06/18,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1078,8321,16602,19122,17858,20977,16334,7435,5700,3516,0,0,0,1,6,19,96,262,547,717
2021/06/17,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1077,8319,16597,19121,17856,20975,16333,7435,5700,3516,0,0,0,1,6,19,96,262,547,717
2021/06/16,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1077,8319,16594,19117,17856,20974,16332,7435,5700,3516,0,0,0,1,6,19,96,262,547,717
2021/06/15,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1077,8319,16589,19114,17854,20971,16331,7435,5700,3516,0,0,0,1,6,19,96,262,547,717
2021/06/14,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1077,8315,16585,19110,17849,20968,16329,7435,5698,3516,0,0,0,1,6,19,96,262,546,717
2021/06/13,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1077,8310,16582,19109,17846,20967,16328,7435,5698,3516,0,0,0,1,6,19,95,262,545,717
2021/06/12,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1077,8308,16580,19106,17841,20965,16325,7435,5698,3516,0,0,0,1,6,19,94,262,545,717
2021/06/11,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1077,8302,16573,19102,17838,20964,16324,7435,5698,3516,0,0,0,1,6,19,94,262,545,717
2021/06/10,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1076,8297,16564,19095,17837,20961,16322,7435,5698,3516,0,0,0,1,6,19,94,262,545,717
2021/06/09,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1075,8291,16560,19090,17831,20955,16320,7434,5698,3515,0,0,0,1,6,19,94,262,545,717
2021/06/08,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1075,8283,16551,19083,17823,20950,16316,7432,5697,3514,0,0,0,1,6,19,94,262,544,716
2021/06/07,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1073,8270,16543,19072,17817,20946,16312,7431,5697,3512,0,0,0,1,5,19,94,262,544,716
2021/06/06,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1072,8262,16532,19065,17808,20940,16311,7430,5697,3512,0,0,0,1,5,19,94,261,544,716
2021/06/05,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1071,8253,16518,19057,17797,20935,16307,7427,5695,3511,0,0,0,1,5,19,94,261,544,716
2021/06/04,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1070,8252,16498,19046,17791,20933,16302,7426,5695,3511,0,0,0,1,5,19,94,261,544,716
2021/06/03,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1070,8247,16487,19036,17786,20924,16301,7426,5693,3511,0,0,0,1,5,19,94,261,544,716
2021/06/02,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1069,8237,16481,19024,17781,20920,16295,7426,5692,3511,0,0,0,1,5,18,94,261,544,716
2021/06/01,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1068,8229,16462,19020,17776,20913,16294,7426,5692,3511,0,0,0,1,5,18,94,261,544,716
2021/05/31,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1067,8222,16440,19003,17760,20905,16289,7425,5692,3511,0,0,0,1,5,18,94,261,544,716
2021/05/30,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1067,8215,16426,18996,17745,20894,16287,7424,5691,3511,0,0,0,1,5,18,94,261,544,716
2021/05/29,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1065,8204,16420,18984,17742,20891,16281,7422,5685,3511,0,0,0,1,5,18,94,261,544,716
2021/05/28,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1064,8194,16410,18968,17733,20878,16276,7422,5685,3511,0,0,0,1,5,18,94,261,544,716
2021/05/27,76988,149350,159643,197295,193361,215620,221010,145206,99362,37773,1062,8185,16403,18958,17718,20870,16269,7422,5685,3510,0,0,0,1,5,18,94,261,543,716
